Symbol,Shortname,Currency,Previousclose,Open,Daylow,Dayhigh,Regularmarketpreviousclose,Regularmarketopen,Regularmarketdaylow,Regularmarketdayhigh,Dividendrate,Dividendyield,Fiveyearavgdividendyield,Beta,Trailingpe,Forwardpe,Volume,Marketcap,Fiftytwoweeklow,Fiftytwoweekhigh,Pricetosalestrailing12months,Fiftydayaverage,Twohundreddayaverage,Profitmargins,Bookvalue,Pricetobook,Earningsquarterlygrowth,Netincometocommon,Trailingeps,Forwardeps,Enterprisetorevenue,Enterprisetoebitda,52weekchange,Ebitda,Totaldebt,Quickratio,Currentratio,Totalrevenue,Debttoequity,Revenuepershare,Returnonassets,Returnonequity,Grossprofits,Freecashflow,Operatingcashflow,Earningsgrowth,Revenuegrowth,Grossmargins,Ebitdamargins,Operatingmargins,Trailingpegratio
ABNB,"Airbnb, Inc.",USD,127.09,125.92,125.64,128.75,127.09,125.92,125.64,128.75,0.0,0.0,0.0,1.16,44.47,30.2,2148092.0,80.02,110.38,170.1,7.38,133.96,137.79,16.96,13.3,9.63,-0.69,1838000000.0,2.88,4.5,6.5,42.08,-0.17,1672999936.0,2259000064.0,1.01,1.62,10.84,26.61,17.06,0.05,20.87,9.0,3.36,4115000064.0,-67.8,9.9,0.83,15.43,0.41,18.58
ABOS,"Acumen Pharmaceuticals, Inc.",USD,1.65,1.62,1.6,1.73,1.65,1.62,1.6,1.73,0.0,0.0,0.0,0.04,0.0,-1.05,105776.0,0.1,1.53,5.09,0.0,2.04,2.65,0.0,3.62,0.44,0.0,-81672000.0,-1.38,-1.53,0.0,0.77,-0.52,-92838000.0,29988000.0,10.06,10.43,0.0,13.81,0.0,-0.21,-32.83,-0.07,-0.04,-67314000.0,0.0,0.0,0.0,0.0,0.0,0.0
ABP,"Abpro Holdings, Inc",USD,1.29,1.3,1.25,1.35,1.29,1.3,1.25,1.35,0.0,0.0,0.0,0.0,0.0,0.0,18013.0,0.07,0.95,13.0,906.78,2.43,8.97,0.0,-9.24,0.0,0.0,-8087000.0,-0.32,0.0,1318.22,-8.39,-0.88,-11307000.0,6284000.0,0.01,0.15,0.0,0.0,0.01,0.0,0.0,-0.0,0.0,-8313000.0,0.0,0.0,0.0,0.0,-159.75,0.0
ABPWW,0.0,USD,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,25200.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,-9.24,0.0,0.0,-8087000.0,0.0,0.0,0.0,0.0,0.0,-11307000.0,6284000.0,0.01,0.15,0.0,0.0,0.01,0.0,0.0,-0.0,0.0,-8313000.0,0.0,0.0,0.0,0.0,-159.75,0.0
ABSI,Absci Corporation,USD,4.0,3.88,3.72,4.2,4.0,3.88,3.72,4.2,0.0,0.0,0.0,2.19,0.0,-4.96,2469354.0,0.43,2.45,6.72,102.24,3.14,3.93,0.0,1.76,2.12,0.0,-97668000.0,-0.93,-0.71,81.85,-3.84,0.01,-89714000.0,11989000.0,4.82,5.63,0.0,5.96,0.04,-0.27,-49.11,-0.05,-0.04,-70360000.0,0.0,128.6,0.0,0.0,-16.99,0.0
ABUS,Arbutus Biopharma Corporation,USD,3.32,3.34,3.32,3.44,3.32,3.34,3.32,3.44,0.0,0.0,0.0,1.92,0.0,-7.2,284202.0,0.64,2.27,4.72,95.14,3.41,3.51,0.0,0.56,6.0,0.0,-76700000.0,-0.43,-0.34,75.36,-6.59,0.31,-77140000.0,6761000.0,6.85,7.02,0.01,6.32,0.04,-0.33,-67.81,-0.06,-0.04,-71827000.0,0.0,-71.3,0.0,0.0,-13.05,0.0
ABVEW,Above Food Ingredients Inc. War,USD,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.0,-0.01,0.0,0.0,69530.0,0.0,0.03,0.03,0.0,0.0,0.0,-14.47,-0.59,0.0,0.0,-53312280.0,0.0,0.0,0.0,0.0,0.0,-36770040.0,117527728.0,0.16,0.44,0.37,0.0,4.75,-0.16,0.0,-0.01,0.02,7148748.0,0.0,-23.4,-0.02,-9.98,-0.17,0.0
ABVX,Abivax SA,USD,6.09,6.21,6.08,6.36,6.09,6.21,6.08,6.36,0.0,0.0,0.0,1.42,0.0,-2.14,89707.0,0.4,5.54,17.02,44.32,7.86,11.34,0.0,2.01,3.06,0.0,-177424992.0,-3.57,-3.02,30.37,-1.61,-0.54,-169872000.0,113362000.0,2.98,3.04,0.01,89.64,0.16,-0.47,-171.46,0.01,-0.09,-154706000.0,0.0,201.9,1.0,0.0,-11.79,0.0
ACAD,ACADIA Pharmaceuticals Inc.,USD,18.67,18.73,18.51,19.05,18.67,18.73,18.51,19.05,0.0,0.0,0.0,0.38,23.73,23.59,408997.0,3.08,14.15,27.94,3.31,17.31,16.38,13.83,3.47,5.33,0.0,128506000.0,0.78,0.82,2.79,20.8,-0.32,124541000.0,49370000.0,1.96,2.29,0.93,8.55,5.62,0.09,27.36,0.58,0.22,202727008.0,0.0,18.3,0.63,13.4,0.13,0.0
ACB,Aurora Cannabis Inc.,USD,3.87,3.85,3.71,3.89,3.87,3.85,3.71,3.89,0.0,0.0,0.0,2.7,0.0,-11.24,368092.0,0.2,2.84,9.35,0.69,4.31,5.59,-14.71,0.01,371.0,0.0,-29765000.0,-0.47,-0.11,712.76,20535.41,-0.05,10308000.0,100970000.0,1.15,3.83,0.3,17.32,0.03,-0.01,-5.79,0.16,-0.08,-42905000.0,0.0,28.5,0.53,3.47,-0.02,0.0
ACCD,"Accolade, Inc.",USD,6.89,6.88,6.88,6.92,6.89,6.88,6.88,6.92,0.0,0.0,0.0,2.02,0.0,-49.92,936049.0,0.56,3.08,13.93,1.28,4.28,4.94,-18.16,5.71,1.21,0.0,-80097000.0,-2.28,-0.84,1.26,-10.39,-0.46,-53619000.0,238808000.0,2.57,2.72,0.44,56.45,5.71,-0.07,-18.61,0.21,0.03,8180000.0,0.0,9.8,0.48,-12.16,-0.24,0.0
ACDC,ProFrac Holding Corp.,USD,8.5,8.44,7.74,8.44,8.5,8.44,7.74,8.44,0.0,0.0,0.0,0.85,0.0,-11.58,172650.0,1.24,5.16,9.75,0.56,7.86,7.52,-9.35,6.88,1.13,0.0,-212800000.0,-1.46,-0.24,1.25,5.37,0.1,515400000.0,1306099968.0,0.56,0.95,2.23,106.23,13.92,0.02,-15.64,0.77,0.16,333500000.0,0.0,0.2,0.35,23.16,0.01,0.0
ACET,"Adicet Bio, Inc.",USD,0.92,0.91,0.91,0.95,0.92,0.91,0.91,0.95,0.0,0.0,0.0,1.7,0.0,-0.7,55370.0,0.08,0.81,3.62,0.0,0.98,1.35,0.0,3.93,0.23,0.0,-137291008.0,-1.7,-1.33,0.0,0.8,-0.69,-121497000.0,19132000.0,12.52,12.75,0.0,8.14,0.0,-0.29,-57.91,0.0,-0.06,-90995000.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGL,Arch Capital Group Ltd.,USD,92.76,93.28,93.18,95.98,92.76,93.28,93.18,95.98,0.0,0.0,0.0,0.61,6.43,10.74,735258.0,36.06,79.0,116.47,2.14,95.06,100.38,33.86,57.23,1.67,0.37,5671000064.0,14.9,9.04,2.01,6.55,0.16,5171999744.0,2727000064.0,0.32,0.6,16.87,12.24,45.39,0.05,30.44,6.71,6.64,6765000192.0,36.2,41.8,0.4,30.66,0.25,0.0
ACGLN,Arch Capital Group Ltd. - Depos,USD,18.74,18.6,18.59,19.03,18.74,18.6,18.59,19.03,1.14,0.06,0.0,0.61,4.05,0.0,72184.0,0.0,17.35,21.21,0.0,18.95,19.66,33.86,57.23,0.33,0.37,5671000064.0,4.69,0.0,0.36,1.19,-0.08,5171999744.0,2727000064.0,0.32,0.6,16.87,12.24,45.39,0.05,30.44,6.71,6.64,6765000192.0,36.2,41.8,0.4,30.66,0.25,0.0
ACGLO,Arch Capital Group Ltd. - Depos,USD,21.89,21.88,21.88,22.16,21.89,21.88,21.88,22.16,1.36,0.06,5.71,0.61,4.71,0.0,23711.0,12.88,20.78,24.5,0.76,22.12,22.78,33.86,57.23,0.39,0.37,5671000064.0,4.69,0.0,0.44,1.42,-0.07,5171999744.0,2727000064.0,0.32,0.6,16.87,12.24,45.39,0.05,30.44,6.71,6.64,6765000192.0,36.2,41.8,0.4,30.66,0.25,0.0
ACHC,"Acadia Healthcare Company, Inc.",USD,44.18,44.5,43.94,45.43,44.18,44.5,43.94,45.43,0.0,0.0,0.0,1.33,14.57,13.11,364580.0,4.13,36.5,87.77,1.32,40.98,60.57,8.99,33.04,1.35,0.0,280726016.0,3.05,3.67,1.97,8.92,-0.48,689292992.0,2010211968.0,0.94,1.07,3.12,63.9,34.13,0.06,9.76,1.35,-0.43,129296000.0,0.0,8.7,0.43,22.08,0.18,0.0
ACHL,Achilles Therapeutics plc,USD,1.15,1.14,1.14,1.15,1.15,1.14,1.14,1.15,0.0,0.0,0.0,1.34,0.0,-9.5,59378.0,0.05,0.63,1.76,0.0,1.08,0.92,0.0,3.46,0.33,0.0,-63967000.0,-1.66,-1.87,0.0,0.71,0.22,-65899000.0,4463000.0,7.94,8.24,0.0,3.86,0.0,-0.27,-44.22,0.0,-0.03,-48000000.0,0.0,0.0,0.0,0.0,0.0,0.0
ACHV,"Achieve Life Sciences, Inc.",USD,2.98,3.0,3.0,3.24,2.98,3.0,3.0,3.24,0.0,0.0,0.0,1.58,0.0,-2.69,127850.0,0.11,2.84,5.59,0.0,3.94,4.54,0.0,0.91,3.43,0.0,-32943000.0,-1.12,-1.15,0.0,-2.24,-0.41,-31037000.0,9845000.0,6.39,6.78,0.0,31.38,0.0,-0.54,-186.04,0.0,-0.01,-24945000.0,0.0,0.0,0.0,0.0,0.0,0.0
ACIC,American Coastal Insurance Corp,USD,12.36,12.4,12.33,12.65,12.36,12.4,12.33,12.65,0.0,0.0,5.5,-0.28,7.18,8.33,51995.0,0.6,8.82,15.08,2.07,13.12,11.71,29.25,7.42,1.69,0.0,84825000.0,1.74,1.5,1.81,4.14,0.07,126796000.0,159190000.0,0.31,0.97,0.29,46.73,6.19,0.06,44.62,0.16,0.17,290792992.0,0.0,-23.5,0.56,43.6,-0.1,0.0
